,Id,Store,DayOfWeek,Date,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,Promo2,Month,Year,Day,WeekOfYear,YearMonth,IsPromo2Month,Competition,StoreRenovated,DaysAfterRenovation
0,1,1,4,2015-09-17,1.0,1,0,0.0,c,a,1270.0,0,9,2015,17,38,2015-09,0,1,0,0
1,857,1,3,2015-09-16,1.0,1,0,0.0,c,a,1270.0,0,9,2015,16,38,2015-09,0,1,0,0
2,1713,1,2,2015-09-15,1.0,1,0,0.0,c,a,1270.0,0,9,2015,15,38,2015-09,0,1,0,0
3,2569,1,1,2015-09-14,1.0,1,0,0.0,c,a,1270.0,0,9,2015,14,38,2015-09,0,1,0,0
4,3425,1,7,2015-09-13,0.0,0,0,0.0,c,a,1270.0,0,9,2015,13,37,2015-09,0,1,0,0
5,4281,1,6,2015-09-12,1.0,0,0,0.0,c,a,1270.0,0,9,2015,12,37,2015-09,0,1,0,0
6,5137,1,5,2015-09-11,1.0,0,0,0.0,c,a,1270.0,0,9,2015,11,37,2015-09,0,1,0,0
7,5993,1,4,2015-09-10,1.0,0,0,0.0,c,a,1270.0,0,9,2015,10,37,2015-09,0,1,0,0
8,6849,1,3,2015-09-09,1.0,0,0,0.0,c,a,1270.0,0,9,2015,9,37,2015-09,0,1,0,0
9,7705,1,2,2015-09-08,1.0,0,0,0.0,c,a,1270.0,0,9,2015,8,37,2015-09,0,1,0,0
10,8561,1,1,2015-09-07,1.0,0,0,0.0,c,a,1270.0,0,9,2015,7,37,2015-09,0,1,0,0
11,9417,1,7,2015-09-06,0.0,0,0,0.0,c,a,1270.0,0,9,2015,6,36,2015-09,0,1,0,0
12,10273,1,6,2015-09-05,1.0,0,0,0.0,c,a,1270.0,0,9,2015,5,36,2015-09,0,1,0,0
13,11129,1,5,2015-09-04,1.0,1,0,1.0,c,a,1270.0,0,9,2015,4,36,2015-09,0,1,0,0
14,11985,1,4,2015-09-03,1.0,1,0,1.0,c,a,1270.0,0,9,2015,3,36,2015-09,0,1,0,0
15,12841,1,3,2015-09-02,1.0,1,0,1.0,c,a,1270.0,0,9,2015,2,36,2015-09,0,1,0,0
16,13697,1,2,2015-09-01,1.0,1,0,1.0,c,a,1270.0,0,9,2015,1,36,2015-09,0,1,0,0
17,14553,1,1,2015-08-31,1.0,1,0,1.0,c,a,1270.0,0,8,2015,31,36,2015-08,0,1,0,0
18,15409,1,7,2015-08-30,0.0,0,0,1.0,c,a,1270.0,0,8,2015,30,35,2015-08,0,1,0,0
19,16265,1,6,2015-08-29,1.0,0,0,1.0,c,a,1270.0,0,8,2015,29,35,2015-08,0,1,0,0
20,17121,1,5,2015-08-28,1.0,0,0,1.0,c,a,1270.0,0,8,2015,28,35,2015-08,0,1,0,0
21,17977,1,4,2015-08-27,1.0,0,0,1.0,c,a,1270.0,0,8,2015,27,35,2015-08,0,1,0,0
22,18833,1,3,2015-08-26,1.0,0,0,1.0,c,a,1270.0,0,8,2015,26,35,2015-08,0,1,0,0
23,19689,1,2,2015-08-25,1.0,0,0,1.0,c,a,1270.0,0,8,2015,25,35,2015-08,0,1,0,0
24,20545,1,1,2015-08-24,1.0,0,0,1.0,c,a,1270.0,0,8,2015,24,35,2015-08,0,1,0,0
25,21401,1,7,2015-08-23,0.0,0,0,1.0,c,a,1270.0,0,8,2015,23,34,2015-08,0,1,0,0
26,22257,1,6,2015-08-22,1.0,0,0,1.0,c,a,1270.0,0,8,2015,22,34,2015-08,0,1,0,0
27,23113,1,5,2015-08-21,1.0,1,0,1.0,c,a,1270.0,0,8,2015,21,34,2015-08,0,1,0,0
28,23969,1,4,2015-08-20,1.0,1,0,1.0,c,a,1270.0,0,8,2015,20,34,2015-08,0,1,0,0
29,24825,1,3,2015-08-19,1.0,1,0,1.0,c,a,1270.0,0,8,2015,19,34,2015-08,0,1,0,0
30,25681,1,2,2015-08-18,1.0,1,0,1.0,c,a,1270.0,0,8,2015,18,34,2015-08,0,1,0,0
31,26537,1,1,2015-08-17,1.0,1,0,1.0,c,a,1270.0,0,8,2015,17,34,2015-08,0,1,0,0
32,27393,1,7,2015-08-16,0.0,0,0,1.0,c,a,1270.0,0,8,2015,16,33,2015-08,0,1,0,0
33,28249,1,6,2015-08-15,1.0,0,0,1.0,c,a,1270.0,0,8,2015,15,33,2015-08,0,1,0,0
34,29105,1,5,2015-08-14,1.0,0,0,1.0,c,a,1270.0,0,8,2015,14,33,2015-08,0,1,0,0
35,29961,1,4,2015-08-13,1.0,0,0,1.0,c,a,1270.0,0,8,2015,13,33,2015-08,0,1,0,0
36,30817,1,3,2015-08-12,1.0,0,0,1.0,c,a,1270.0,0,8,2015,12,33,2015-08,0,1,0,0
37,31673,1,2,2015-08-11,1.0,0,0,1.0,c,a,1270.0,0,8,2015,11,33,2015-08,0,1,0,0
38,32529,1,1,2015-08-10,1.0,0,0,1.0,c,a,1270.0,0,8,2015,10,33,2015-08,0,1,0,0
39,33385,1,7,2015-08-09,0.0,0,0,1.0,c,a,1270.0,0,8,2015,9,32,2015-08,0,1,0,0
40,34241,1,6,2015-08-08,1.0,0,0,1.0,c,a,1270.0,0,8,2015,8,32,2015-08,0,1,0,0
41,35097,1,5,2015-08-07,1.0,1,0,1.0,c,a,1270.0,0,8,2015,7,32,2015-08,0,1,0,0
42,35953,1,4,2015-08-06,1.0,1,0,1.0,c,a,1270.0,0,8,2015,6,32,2015-08,0,1,0,0
43,36809,1,3,2015-08-05,1.0,1,0,1.0,c,a,1270.0,0,8,2015,5,32,2015-08,0,1,0,0
44,37665,1,2,2015-08-04,1.0,1,0,1.0,c,a,1270.0,0,8,2015,4,32,2015-08,0,1,0,0
45,38521,1,1,2015-08-03,1.0,1,0,1.0,c,a,1270.0,0,8,2015,3,32,2015-08,0,1,0,0
46,39377,1,7,2015-08-02,0.0,0,0,1.0,c,a,1270.0,0,8,2015,2,31,2015-08,0,1,0,0
47,40233,1,6,2015-08-01,1.0,0,0,1.0,c,a,1270.0,0,8,2015,1,31,2015-08,0,1,0,0
48,2,3,4,2015-09-17,1.0,1,0,0.0,a,a,14130.0,1,9,2015,17,38,2015-09,0,1,0,0
49,858,3,3,2015-09-16,1.0,1,0,0.0,a,a,14130.0,1,9,2015,16,38,2015-09,0,1,0,0
50,1714,3,2,2015-09-15,1.0,1,0,0.0,a,a,14130.0,1,9,2015,15,38,2015-09,0,1,0,0
51,2570,3,1,2015-09-14,1.0,1,0,0.0,a,a,14130.0,1,9,2015,14,38,2015-09,0,1,0,0
52,3426,3,7,2015-09-13,0.0,0,0,0.0,a,a,14130.0,1,9,2015,13,37,2015-09,0,1,0,0
53,4282,3,6,2015-09-12,1.0,0,0,0.0,a,a,14130.0,1,9,2015,12,37,2015-09,0,1,0,0
54,5138,3,5,2015-09-11,1.0,0,0,0.0,a,a,14130.0,1,9,2015,11,37,2015-09,0,1,0,0
55,5994,3,4,2015-09-10,1.0,0,0,0.0,a,a,14130.0,1,9,2015,10,37,2015-09,0,1,0,0
56,6850,3,3,2015-09-09,1.0,0,0,0.0,a,a,14130.0,1,9,2015,9,37,2015-09,0,1,0,0
57,7706,3,2,2015-09-08,1.0,0,0,0.0,a,a,14130.0,1,9,2015,8,37,2015-09,0,1,0,0
58,8562,3,1,2015-09-07,1.0,0,0,0.0,a,a,14130.0,1,9,2015,7,37,2015-09,0,1,0,0
59,9418,3,7,2015-09-06,0.0,0,0,0.0,a,a,14130.0,1,9,2015,6,36,2015-09,0,1,0,0
60,10274,3,6,2015-09-05,1.0,0,0,0.0,a,a,14130.0,1,9,2015,5,36,2015-09,0,1,0,0
61,11130,3,5,2015-09-04,1.0,1,0,0.0,a,a,14130.0,1,9,2015,4,36,2015-09,0,1,0,0
62,11986,3,4,2015-09-03,1.0,1,0,0.0,a,a,14130.0,1,9,2015,3,36,2015-09,0,1,0,0
63,12842,3,3,2015-09-02,1.0,1,0,0.0,a,a,14130.0,1,9,2015,2,36,2015-09,0,1,0,0
64,13698,3,2,2015-09-01,1.0,1,0,0.0,a,a,14130.0,1,9,2015,1,36,2015-09,0,1,0,0
65,14554,3,1,2015-08-31,1.0,1,0,0.0,a,a,14130.0,1,8,2015,31,36,2015-08,0,1,0,0
66,15410,3,7,2015-08-30,0.0,0,0,0.0,a,a,14130.0,1,8,2015,30,35,2015-08,0,1,0,0
67,16266,3,6,2015-08-29,1.0,0,0,0.0,a,a,14130.0,1,8,2015,29,35,2015-08,0,1,0,0
68,17122,3,5,2015-08-28,1.0,0,0,0.0,a,a,14130.0,1,8,2015,28,35,2015-08,0,1,0,0
69,17978,3,4,2015-08-27,1.0,0,0,0.0,a,a,14130.0,1,8,2015,27,35,2015-08,0,1,0,0
70,18834,3,3,2015-08-26,1.0,0,0,0.0,a,a,14130.0,1,8,2015,26,35,2015-08,0,1,0,0
71,19690,3,2,2015-08-25,1.0,0,0,0.0,a,a,14130.0,1,8,2015,25,35,2015-08,0,1,0,0
72,20546,3,1,2015-08-24,1.0,0,0,0.0,a,a,14130.0,1,8,2015,24,35,2015-08,0,1,0,0
73,21402,3,7,2015-08-23,0.0,0,0,0.0,a,a,14130.0,1,8,2015,23,34,2015-08,0,1,0,0
74,22258,3,6,2015-08-22,1.0,0,0,0.0,a,a,14130.0,1,8,2015,22,34,2015-08,0,1,0,0
75,23114,3,5,2015-08-21,1.0,1,0,0.0,a,a,14130.0,1,8,2015,21,34,2015-08,0,1,0,0
76,23970,3,4,2015-08-20,1.0,1,0,0.0,a,a,14130.0,1,8,2015,20,34,2015-08,0,1,0,0
77,24826,3,3,2015-08-19,1.0,1,0,0.0,a,a,14130.0,1,8,2015,19,34,2015-08,0,1,0,0
78,25682,3,2,2015-08-18,1.0,1,0,0.0,a,a,14130.0,1,8,2015,18,34,2015-08,0,1,0,0
79,26538,3,1,2015-08-17,1.0,1,0,0.0,a,a,14130.0,1,8,2015,17,34,2015-08,0,1,0,0
80,27394,3,7,2015-08-16,0.0,0,0,0.0,a,a,14130.0,1,8,2015,16,33,2015-08,0,1,0,0
81,28250,3,6,2015-08-15,1.0,0,0,0.0,a,a,14130.0,1,8,2015,15,33,2015-08,0,1,0,0
82,29106,3,5,2015-08-14,1.0,0,0,0.0,a,a,14130.0,1,8,2015,14,33,2015-08,0,1,0,0
83,29962,3,4,2015-08-13,1.0,0,0,0.0,a,a,14130.0,1,8,2015,13,33,2015-08,0,1,0,0
84,30818,3,3,2015-08-12,1.0,0,0,0.0,a,a,14130.0,1,8,2015,12,33,2015-08,0,1,0,0
85,31674,3,2,2015-08-11,1.0,0,0,1.0,a,a,14130.0,1,8,2015,11,33,2015-08,0,1,0,0
86,32530,3,1,2015-08-10,1.0,0,0,1.0,a,a,14130.0,1,8,2015,10,33,2015-08,0,1,0,0
87,33386,3,7,2015-08-09,0.0,0,0,0.0,a,a,14130.0,1,8,2015,9,32,2015-08,0,1,0,0
88,34242,3,6,2015-08-08,1.0,0,0,0.0,a,a,14130.0,1,8,2015,8,32,2015-08,0,1,0,0
89,35098,3,5,2015-08-07,1.0,1,0,1.0,a,a,14130.0,1,8,2015,7,32,2015-08,0,1,0,0
90,35954,3,4,2015-08-06,1.0,1,0,1.0,a,a,14130.0,1,8,2015,6,32,2015-08,0,1,0,0
91,36810,3,3,2015-08-05,1.0,1,0,1.0,a,a,14130.0,1,8,2015,5,32,2015-08,0,1,0,0
92,37666,3,2,2015-08-04,1.0,1,0,1.0,a,a,14130.0,1,8,2015,4,32,2015-08,0,1,0,0
93,38522,3,1,2015-08-03,1.0,1,0,1.0,a,a,14130.0,1,8,2015,3,32,2015-08,0,1,0,0
94,39378,3,7,2015-08-02,0.0,0,0,0.0,a,a,14130.0,1,8,2015,2,31,2015-08,0,1,0,0
95,40234,3,6,2015-08-01,1.0,0,0,0.0,a,a,14130.0,1,8,2015,1,31,2015-08,0,1,0,0
96,3,7,4,2015-09-17,1.0,1,0,0.0,a,c,24000.0,0,9,2015,17,38,2015-09,0,1,0,0
97,859,7,3,2015-09-16,1.0,1,0,0.0,a,c,24000.0,0,9,2015,16,38,2015-09,0,1,0,0
98,1715,7,2,2015-09-15,1.0,1,0,0.0,a,c,24000.0,0,9,2015,15,38,2015-09,0,1,0,0
99,2571,7,1,2015-09-14,1.0,1,0,0.0,a,c,24000.0,0,9,2015,14,38,2015-09,0,1,0,0
100,3427,7,7,2015-09-13,0.0,0,0,0.0,a,c,24000.0,0,9,2015,13,37,2015-09,0,1,0,0
101,4283,7,6,2015-09-12,1.0,0,0,0.0,a,c,24000.0,0,9,2015,12,37,2015-09,0,1,0,0
102,5139,7,5,2015-09-11,1.0,0,0,0.0,a,c,24000.0,0,9,2015,11,37,2015-09,0,1,0,0
103,5995,7,4,2015-09-10,1.0,0,0,0.0,a,c,24000.0,0,9,2015,10,37,2015-09,0,1,0,0
104,6851,7,3,2015-09-09,1.0,0,0,0.0,a,c,24000.0,0,9,2015,9,37,2015-09,0,1,0,0
105,7707,7,2,2015-09-08,1.0,0,0,0.0,a,c,24000.0,0,9,2015,8,37,2015-09,0,1,0,0
106,8563,7,1,2015-09-07,1.0,0,0,0.0,a,c,24000.0,0,9,2015,7,37,2015-09,0,1,0,0
107,9419,7,7,2015-09-06,0.0,0,0,0.0,a,c,24000.0,0,9,2015,6,36,2015-09,0,1,0,0
108,10275,7,6,2015-09-05,1.0,0,0,0.0,a,c,24000.0,0,9,2015,5,36,2015-09,0,1,0,0
109,11131,7,5,2015-09-04,1.0,1,0,0.0,a,c,24000.0,0,9,2015,4,36,2015-09,0,1,0,0
110,11987,7,4,2015-09-03,1.0,1,0,0.0,a,c,24000.0,0,9,2015,3,36,2015-09,0,1,0,0
111,12843,7,3,2015-09-02,1.0,1,0,0.0,a,c,24000.0,0,9,2015,2,36,2015-09,0,1,0,0
112,13699,7,2,2015-09-01,1.0,1,0,0.0,a,c,24000.0,0,9,2015,1,36,2015-09,0,1,0,0
113,14555,7,1,2015-08-31,1.0,1,0,0.0,a,c,24000.0,0,8,2015,31,36,2015-08,0,1,0,0
114,15411,7,7,2015-08-30,0.0,0,0,0.0,a,c,24000.0,0,8,2015,30,35,2015-08,0,1,0,0
115,16267,7,6,2015-08-29,1.0,0,0,0.0,a,c,24000.0,0,8,2015,29,35,2015-08,0,1,0,0
116,17123,7,5,2015-08-28,1.0,0,0,1.0,a,c,24000.0,0,8,2015,28,35,2015-08,0,1,0,0
117,17979,7,4,2015-08-27,1.0,0,0,1.0,a,c,24000.0,0,8,2015,27,35,2015-08,0,1,0,0
118,18835,7,3,2015-08-26,1.0,0,0,1.0,a,c,24000.0,0,8,2015,26,35,2015-08,0,1,0,0
119,19691,7,2,2015-08-25,1.0,0,0,1.0,a,c,24000.0,0,8,2015,25,35,2015-08,0,1,0,0
120,20547,7,1,2015-08-24,1.0,0,0,1.0,a,c,24000.0,0,8,2015,24,35,2015-08,0,1,0,0
121,21403,7,7,2015-08-23,0.0,0,0,0.0,a,c,24000.0,0,8,2015,23,34,2015-08,0,1,0,0
122,22259,7,6,2015-08-22,1.0,0,0,0.0,a,c,24000.0,0,8,2015,22,34,2015-08,0,1,0,0
123,23115,7,5,2015-08-21,1.0,1,0,1.0,a,c,24000.0,0,8,2015,21,34,2015-08,0,1,0,0
124,23971,7,4,2015-08-20,1.0,1,0,1.0,a,c,24000.0,0,8,2015,20,34,2015-08,0,1,0,0
125,24827,7,3,2015-08-19,1.0,1,0,1.0,a,c,24000.0,0,8,2015,19,34,2015-08,0,1,0,0
126,25683,7,2,2015-08-18,1.0,1,0,1.0,a,c,24000.0,0,8,2015,18,34,2015-08,0,1,0,0
127,26539,7,1,2015-08-17,1.0,1,0,1.0,a,c,24000.0,0,8,2015,17,34,2015-08,0,1,0,0
128,27395,7,7,2015-08-16,0.0,0,0,0.0,a,c,24000.0,0,8,2015,16,33,2015-08,0,1,0,0
129,28251,7,6,2015-08-15,1.0,0,0,0.0,a,c,24000.0,0,8,2015,15,33,2015-08,0,1,0,0
130,29107,7,5,2015-08-14,1.0,0,0,1.0,a,c,24000.0,0,8,2015,14,33,2015-08,0,1,0,0
131,29963,7,4,2015-08-13,1.0,0,0,1.0,a,c,24000.0,0,8,2015,13,33,2015-08,0,1,0,0
132,30819,7,3,2015-08-12,1.0,0,0,1.0,a,c,24000.0,0,8,2015,12,33,2015-08,0,1,0,0
133,31675,7,2,2015-08-11,1.0,0,0,1.0,a,c,24000.0,0,8,2015,11,33,2015-08,0,1,0,0
134,32531,7,1,2015-08-10,1.0,0,0,1.0,a,c,24000.0,0,8,2015,10,33,2015-08,0,1,0,0
135,33387,7,7,2015-08-09,0.0,0,0,0.0,a,c,24000.0,0,8,2015,9,32,2015-08,0,1,0,0
136,34243,7,6,2015-08-08,1.0,0,0,0.0,a,c,24000.0,0,8,2015,8,32,2015-08,0,1,0,0
137,35099,7,5,2015-08-07,1.0,1,0,1.0,a,c,24000.0,0,8,2015,7,32,2015-08,0,1,0,0
138,35955,7,4,2015-08-06,1.0,1,0,1.0,a,c,24000.0,0,8,2015,6,32,2015-08,0,1,0,0
139,36811,7,3,2015-08-05,1.0,1,0,1.0,a,c,24000.0,0,8,2015,5,32,2015-08,0,1,0,0
140,37667,7,2,2015-08-04,1.0,1,0,1.0,a,c,24000.0,0,8,2015,4,32,2015-08,0,1,0,0
141,38523,7,1,2015-08-03,1.0,1,0,1.0,a,c,24000.0,0,8,2015,3,32,2015-08,0,1,0,0
142,39379,7,7,2015-08-02,0.0,0,0,0.0,a,c,24000.0,0,8,2015,2,31,2015-08,0,1,0,0
143,40235,7,6,2015-08-01,1.0,0,0,0.0,a,c,24000.0,0,8,2015,1,31,2015-08,0,1,0,0
144,4,8,4,2015-09-17,1.0,1,0,0.0,a,a,7520.0,0,9,2015,17,38,2015-09,0,1,0,0
145,860,8,3,2015-09-16,1.0,1,0,0.0,a,a,7520.0,0,9,2015,16,38,2015-09,0,1,0,0
